wallet,vendor,category,pqc_stance,crypto_agility,protocol_pqc,contract_pqc_support,offchain_pqc,date_last_updated,audit,report
Klever,Klever (Brazil),Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/klever.md
Tomo,Tomo Inc.,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Concordium Wallet,Concordium Foundation,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Nest Wallet,Nest Technologies HK,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Zeal,GRWTH LBS LTD,Smart Contract,not-applicable.svg,yes.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/zeal.md
Polkagate,PolkaGate,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/polkagate.md
Newmoney.AI,Rad Studio Holding,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Kabila,Soluciones Web3 (Spain),Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
WellDone Wallet,DSRV Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Noone,Raias LLC + NO ONE FZCO,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Begin,FluidTokens x IAMX,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
MPCVault,MPCVault,MPC,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Cashtab,Bitcoin ABC,Software,not-applicable.svg,not-applicable.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Freewallet Web3,FRWLT LLC,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
DIDWallet,ArcBlock,Identity,yes-but.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/didwallet.md
